Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,City
Pinehurst,47.7229,-122.319553051,Java Jane,47.72245382665908,-122.31650759754386,Coffee Shop,Seattle
Pinehurst,47.7229,-122.319553051,Jackson Park Golf Club,47.72809535798552,-122.31651977077779,Golf Course,Seattle
Pinehurst,47.7229,-122.319553051,Northacres Park,47.72168468216491,-122.3285549667155,Park,Seattle
Pinehurst,47.7229,-122.319553051,Chaiyo Thai,47.7154755712036,-122.31273299696257,Thai Restaurant,Seattle
Pinehurst,47.7229,-122.319553051,Seattle Drum School,47.71977046368231,-122.31263958606462,Rock Club,Seattle
Pinehurst,47.7229,-122.319553051,Amante,47.7183630551068,-122.31838336570652,Pizza Place,Seattle
Pinehurst,47.7229,-122.319553051,Subway,47.71911744349514,-122.31208351760824,Sandwich Place,Seattle
Pinehurst,47.7229,-122.319553051,Redbox,47.718638,-122.312667,Video Store,Seattle
Pinehurst,47.7229,-122.319553051,Redbox,47.726228,-122.329115,Video Store,Seattle
Pinehurst,47.7229,-122.319553051,Nori Presto,47.719140769960795,-122.31218608530956,Sushi Restaurant,Seattle
Pinehurst,47.7229,-122.319553051,Valero,47.72623348897857,-122.32936571882253,Gas Station,Seattle
Pinehurst,47.7229,-122.319553051,7-Eleven,47.7191125,-122.3131605,Convenience Store,Seattle
Pinehurst,47.7229,-122.319553051,Northacres Off-Leash Dog Park,47.72203565154771,-122.32592430488758,Dog Run,Seattle
Pinehurst,47.7229,-122.319553051,Starbucks,47.717995,-122.311922,Coffee Shop,Seattle
Pinehurst,47.7229,-122.319553051,Dominos Pizza,47.715646,-122.312336,Pizza Place,Seattle
Pinehurst,47.7229,-122.319553051,Safeway,47.7182875,-122.3120724,Grocery Store,Seattle
Pinehurst,47.7229,-122.319553051,Boud's Pinehurst Pub,47.715641338838694,-122.31263330949129,Bar,Seattle
Pinehurst,47.7229,-122.319553051,Thornton Creek Park #1,47.723317603701005,-122.31712102890013,Park,Seattle
Pinehurst,47.7229,-122.319553051,Jackson Park P-Patch,47.724290122892896,-122.31814003842273,Garden,Seattle
Pinehurst,47.7229,-122.319553051,Licorice Fern Natural Area on Thornton Creek,47.72244410316441,-122.31655948446785,Park,Seattle
Pinehurst,47.7229,-122.319553051,125th and Roosevelt Way north,47.72307012959601,-122.32338707868897,Moving Target,Seattle
Pinehurst,47.7229,-122.319553051,Caroline Tavern,47.72862306284786,-122.3124364602782,Bar,Seattle
Pinehurst,47.7229,-122.319553051,IFGF Gym,47.718012402293965,-122.32163098201347,Basketball Court,Seattle
Pinehurst,47.7229,-122.319553051,Northacres Ballfield,47.720317,-122.32656200000001,Baseball Field,Seattle
