City,State,Neighborhood,Latitude,Longitude,Home Ownership,Home Rentership,Home Value,Median Age,Population Denisty
Phoenix,AZ,Camelback East,33.5017,-112.003013514,0.466472,0.434634,197945,39.076757,6794.026486
Phoenix,AZ,South Mountain,33.3823,-112.04755082,0.536819,0.375019,93301,29.738356,6029.60411
Phoenix,AZ,Estrella,33.4232,-112.197717115,0.453543,0.434062,73498,26.823913,6495.667391
Phoenix,AZ,Laveen,33.3654,-112.163787833,0.691265,0.223038,105306,31.428571,2693.5
Phoenix,AZ,North Mountain,33.5935,-112.100197286,0.563129,0.359148,137746,37.183784,7012.575135
Phoenix,AZ,Alahambra,33.5199,-112.109216769,0.460333,0.440082,123621,34.986452,9086.045806
Phoenix,AZ,Maryvale,33.4896,-112.210578038,0.602748,0.334695,87840,28.375177,9411.37234
Phoenix,AZ,North Gateway,33.7808,-112.144257516,0.7382,0.07328,197633,39.34,512.36
Phoenix,AZ,New Village,33.8841,-112.188259104,0.667753,0.083503,200626,44.8,340.8
Phoenix,AZ,Desert View,33.7281,-112.006530538,0.79248,0.119488,247785,40.3125,2162.99375
Phoenix,AZ,Ahwatukee Foothills,33.3253,-112.051885785,0.644995,0.280154,206976,37.663793,4848.015517
Phoenix,AZ,Central City,33.4425,-112.046834159,0.283783,0.577891,92098,29.356471,6473.082353
Phoenix,AZ,Paradise Valley,33.6226,-111.991574696,0.69468,0.241684,202343,40.944853,5383.035294
Phoenix,AZ,Deer Valley,33.6868,-112.12136844,0.667374,0.264807,142512,36.176033,6105.947107
Phoenix,AZ,Encanto,33.4833,-112.069061802,0.35694,0.516415,112017,33.144872,8075.808974
Portland,OR,Montavilla,45.5202,-122.578331549,0.561351,0.376216,225353,36.86,7654.348
Portland,OR,Creston-Kenilworth,45.4937,-122.619947659,0.448566,0.48963,237699,37.0,10128.109091
Portland,OR,Downtown,45.514,-122.678656452,0.139921,0.758449,441455,39.092308,12555.6
Portland,OR,Arbor Lodge,45.572,-122.692011265,0.634859,0.303814,215261,37.705556,7022.938889
Portland,OR,Buckman,45.5175,-122.653586126,0.228697,0.692664,415137,35.766667,9352.073333
Portland,OR,Hillsdale,45.4817,-122.694793133,0.600932,0.342131,434643,40.4,4518.035294
Portland,OR,Lents,45.4784,-122.56369267,0.577507,0.346268,237707,35.909091,5790.886364
Portland,OR,Lloyd,45.5291,-122.661851927,0.156675,0.727986,454901,39.533333,7784.011111
Portland,OR,Bridgeton,45.5903,-122.656448393,0.55986,0.295818,226764,39.628571,3375.8
Portland,OR,Parkrose,45.5527,-122.549114718,0.595436,0.338055,249653,39.59,5583.76
Portland,OR,Powellhurst,45.492,-122.543282836,0.610859,0.326238,225987,36.555172,6472.648276
Portland,OR,Sunderland,45.5842,-122.593988689,0.468978,0.302833,251290,39.75,200.9
Portland,OR,Pleasant Valley,45.4759,-122.516650981,0.732097,0.204544,323765,37.82,4088.653333
Portland,OR,Reed,45.4849,-122.632483326,0.56225,0.383278,397124,36.433333,7140.883333
Portland,OR,Southwest Hills,45.5036,-122.707696167,0.646577,0.289105,614491,44.571429,5328.164286
Portland,OR,Linnton,45.5903,-122.792675706,0.660827,0.22334,441017,43.828571,742.671429
Portland,OR,Cathedral Park,45.5902,-122.753367521,0.57127,0.359132,219008,36.654545,5692.963636
Portland,OR,Roseway,45.5426,-122.597210535,0.668592,0.27649,290791,40.482857,7201.314286
Portland,OR,Kenton,45.5945,-122.700344832,0.548678,0.36025,196183,35.025,6507.091667
Portland,OR,Woodstock,45.4775,-122.612863437,0.687317,0.258443,250411,39.194444,6314.283333
Portland,OR,Far Southwest,45.4498,-122.69901942,0.669077,0.268438,419692,39.911111,3582.633333
Portland,OR,Kerns,45.5261,-122.645526843,0.311872,0.623766,435254,37.016667,9581.008333
Portland,OR,Irvington,45.5381,-122.645909965,0.458373,0.481509,388886,39.568421,9206.573684
Portland,OR,Foster Powell,45.4913,-122.592658493,0.522788,0.411238,205437,37.723529,8424.817647
Portland,OR,King,45.5562,-122.654230225,0.607292,0.32595,278667,35.461905,9729.104762
Portland,OR,Maplewood-Ashcreek,45.4606,-122.725946949,0.589527,0.352496,336286,39.317391,4498.556522
Portland,OR,Brooklyn,45.4955,-122.649805405,0.412742,0.524871,280080,33.95,6371.67
Portland,OR,Eliot,45.5401,-122.669400254,0.353025,0.535053,281923,35.9625,7024.05
Portland,OR,Old Town-Chinatown,45.5249,-122.672686216,0.099264,0.78358,507919,37.7,7227.014286
Portland,OR,Bridlemile,45.4914,-122.725093526,0.690796,0.264503,494361,44.533333,4007.008333
Portland,OR,Concordia,45.5658,-122.632313547,0.61883,0.303557,237699,36.9625,7022.5875
Portland,OR,Eastmoreland,45.4703,-122.631323413,0.678813,0.271362,383653,40.523077,5756.307692
Portland,OR,Mount Tabor,45.5143,-122.598956267,0.562077,0.378479,304646,40.611111,8100.972222
Portland,OR,Forest Park,45.5377,-122.74664433,0.727583,0.209925,610803,43.475,2798.74375
Portland,OR,Mill Park,45.5121,-122.542168234,0.527748,0.398677,200838,34.8,7695.833333
Portland,OR,Boise,45.5555,-122.671171189,0.446606,0.459141,219477,33.24,9288.826667
Portland,OR,Haden Island,45.6249,-122.706553266,0.668225,0.154033,190210,53.65,1460.8
Portland,OR,Saintjohns,45.6213,-122.749831713,0.549846,0.349362,230486,36.753846,4777.007692
Portland,OR,Pearl District,45.5301,-122.680952248,0.130301,0.758912,425628,38.5,9726.516667
Portland,OR,Portsmith,45.5864,-122.719397641,0.555628,0.354739,215947,34.683333,6185.191667
Portland,OR,Brentwood-Darlington,45.4683,-122.597562592,0.631326,0.291609,212779,37.11,6406.9
Portland,OR,Homestead,45.497,-122.688285943,0.43923,0.462444,542509,40.518182,5407.427273
Portland,OR,University Park,45.5777,-122.726501281,0.678459,0.257002,243540,36.83,5473.95
Portland,OR,Richmond,45.5082,-122.623363924,0.484355,0.460438,294495,36.454839,10443.641936
Portland,OR,Ross Island,45.4878,-122.66102143,0.594937,0.373418,367420,38.8,798.0
Portland,OR,Alameda,45.5444,-122.6339695,0.753217,0.208982,423277,42.245833,8170.625
Portland,OR,Madison South,45.5406,-122.57872019,0.560451,0.378544,239001,37.292857,6625.842857
Portland,OR,Woodlawn,45.5745,-122.661808726,0.590106,0.329278,212840,35.755556,7402.872222
Portland,OR,Overlook,45.5578,-122.698111142,0.55962,0.359411,278993,36.457143,6247.980952
Portland,OR,South Tabor,45.5014,-122.595017792,0.567144,0.372968,251647,38.673333,8312.733333
Portland,OR,Corbett-Terwilliger-Lair Hill,45.4853,-122.674729913,0.501817,0.411899,413420,38.97,3911.44
Portland,OR,Hayhurst,45.4812,-122.727404104,0.593499,0.354818,361409,40.854545,4904.281818
Portland,OR,Mount Scott,45.4826,-122.591095643,0.56846,0.359801,196282,35.775,8633.65
Portland,OR,Hosford,45.5055,-122.651396678,0.458381,0.474129,320000,37.35625,7569.21875
Portland,OR,Northwest,45.5476,-122.71970812,0.397148,0.519795,544619,37.613636,10425.081818
Portland,OR,Wilkes,45.5434,-122.496103555,0.576329,0.345986,289495,40.590909,5694.281818
Portland,OR,Argay,45.551,-122.523940197,0.689942,0.235409,286648,45.190909,4675.990909
Portland,OR,Center,45.5264,-122.613970727,0.49596,0.449059,324883,40.141176,9656.364706
Portland,OR,Hazelwood,45.5202,-122.53750661,0.549768,0.388686,241083,37.580769,6733.446154
Portland,OR,Sellwood-Moreland,45.4723,-122.65072585,0.479905,0.4615,330708,37.192857,6486.821429
Portland,OR,Cully,45.5612,-122.595752314,0.69033,0.243955,270528,39.579167,6404.4
Portland,OR,Centennial,45.5035,-122.498134692,0.585137,0.351177,216992,34.005263,7864.526316
Portland,OR,Government Island,45.5779,-122.510158699,0.712644,0.114368,255825,45.0,301.2
Seattle,WA,Pinehurst,47.7229,-122.319553051,0.501717,0.449341,316608,40.64,7337.19
Seattle,WA,Brighton,47.5388,-122.275672951,0.507302,0.41765,300768,35.84375,11462.3
Seattle,WA,Whittier Heights,47.6833,-122.371407037,0.607438,0.347283,398769,39.457143,10478.685714
Austin,TX,Windsor Hills,30.364,-97.6767178538,0.499472,0.434392,133446,37.575,5458.3375
Austin,TX,Downtown,30.2687,-97.7437973152,0.273871,0.63179,268540,37.124,7763.652
Austin,TX,East Cesar Chavez,30.2576,-97.7302459993,0.412055,0.522824,127360,35.993333,6683.513333
Austin,TX,Dawson,30.2329,-97.761506003,0.231806,0.717047,144968,30.82,7058.01
Austin,TX,Allandale,30.3433,-97.7439666256,0.471473,0.472916,223863,40.034783,5082.065217
Austin,TX,East Congress,30.2108,-97.7634107182,0.272421,0.651545,96858,30.32,4054.7
Austin,TX,Barton Hills,30.2523,-97.7872997349,0.358353,0.561603,324132,37.235294,3436.252941
Austin,TX,Bouldin,30.2519,-97.7563214878,0.348853,0.574989,245520,35.123077,6008.830769
Austin,TX,Brentwood,30.3301,-97.7315382869,0.376715,0.570173,174867,37.66,5007.58
Austin,TX,Central East Austin,30.2703,-97.7239558331,0.289728,0.631956,82426,33.342857,4889.085714
Austin,TX,Chestnut,30.2779,-97.7150144139,0.361512,0.52324,86816,32.885714,6171.9
